batter,death_runs_scored,middle_runs_scored,powerplay_runs_scored,death_strike_rate,middle_strike_rate,powerplay_strike_rate
A Ashish Reddy,214.0,61.0,5.0,146.58,148.78,83.33
A Badoni,380.0,236.0,18.0,161.7,117.41,48.65
A Chandila,4.0,0.0,0.0,57.14,0.0,0.0
A Chopra,1.0,25.0,27.0,50.0,83.33,69.23
A Choudhary,25.0,0.0,0.0,125.0,0.0,0.0
A Dananjaya,4.0,0.0,0.0,80.0,0.0,0.0
A Flintoff,25.0,23.0,14.0,147.06,100.0,107.69
A Kamboj,2.0,0.0,0.0,100.0,0.0,0.0
A Kumble,34.0,1.0,0.0,80.95,20.0,0.0
A Manohar,105.0,114.0,12.0,166.67,122.58,66.67
A Mishra,260.0,120.0,1.0,104.0,73.17,20.0
A Mithun,19.0,15.0,0.0,135.71,125.0,0.0
A Mukund,0.0,5.0,14.0,0.0,83.33,93.33
A Nehra,41.0,0.0,0.0,66.13,0.0,0.0
A Nortje,49.0,0.0,0.0,100.0,0.0,0.0
A Raghuvanshi,0.0,85.0,78.0,0.0,154.55,159.18
A Singh,2.0,0.0,0.0,25.0,0.0,0.0
A Symonds,293.0,609.0,72.0,159.24,125.83,87.8
A Tomar,0.0,0.0,4.0,0.0,0.0,50.0
A Uniyal,4.0,0.0,0.0,57.14,0.0,0.0
A Zampa,6.0,9.0,0.0,60.0,64.29,0.0
AA Bilakhia,36.0,10.0,23.0,109.09,50.0,71.88
AA Chavan,11.0,1.0,0.0,137.5,33.33,0.0
AA Jhunjhunwala,69.0,124.0,24.0,135.29,99.2,70.59
AA Kulkarni,0.0,0.0,9.0,0.0,0.0,112.5
AA Noffke,0.0,9.0,0.0,0.0,90.0,0.0
AB Agarkar,125.0,34.0,20.0,132.98,72.34,153.85
AB Barath,2.0,22.0,18.0,40.0,95.65,128.57
AB Dinda,20.0,6.0,0.0,50.0,75.0,0.0
AB McDonald,80.0,13.0,30.0,123.08,81.25,157.89
AB de Villiers,1868.0,2572.0,741.0,222.91,131.29,120.68
AC Blizzard,0.0,21.0,99.0,0.0,150.0,130.26
AC Gilchrist,63.0,621.0,1385.0,196.88,144.42,134.08
AC Thomas,20.0,0.0,0.0,105.26,0.0,0.0
AC Voges,85.0,89.0,7.0,151.79,114.1,77.78
AD Hales,0.0,34.0,114.0,0.0,91.89,140.74
AD Mascarenhas,49.0,26.0,4.0,122.5,72.22,200.0
AD Mathews,425.0,289.0,10.0,153.99,102.48,58.82
AD Nath,22.0,57.0,11.0,88.0,91.94,100.0
AD Russell,1324.0,1123.0,41.0,194.42,154.9,241.18
AF Milne,17.0,6.0,0.0,85.0,66.67,0.0
AG Murtaza,10.0,0.0,0.0,71.43,0.0,0.0
AG Paunikar,0.0,0.0,49.0,0.0,0.0,84.48
AJ Finch,282.0,899.0,911.0,157.54,136.42,114.3
AJ Hosein,16.0,0.0,0.0,160.0,0.0,0.0
AJ Turner,7.0,17.0,0.0,38.89,170.0,0.0
AJ Tye,70.0,21.0,0.0,116.67,131.25,0.0
AK Markram,224.0,671.0,100.0,182.11,125.89,90.09
AL Menaria,97.0,296.0,8.0,121.25,110.45,100.0
AM Nayar,310.0,297.0,65.0,157.36,96.74,89.04
AM Rahane,509.0,1814.0,2319.0,157.59,122.48,118.5
AN Ahmed,36.0,0.0,0.0,138.46,0.0,0.0
AN Ghosh,0.0,0.0,7.0,0.0,0.0,100.0
AP Dole,33.0,1.0,0.0,165.0,50.0,0.0
AP Majumdar,2.0,64.0,21.0,66.67,110.34,140.0
AP Tare,40.0,73.0,226.0,153.85,162.22,111.88
AR Bawne,12.0,0.0,0.0,100.0,0.0,0.0
AR Patel,900.0,721.0,32.0,151.26,114.08,88.89
AS Joseph,24.0,3.0,0.0,82.76,100.0,0.0
AS Rajpoot,25.0,1.0,0.0,69.44,20.0,0.0
AS Raut,120.0,67.0,7.0,116.5,115.52,116.67
AS Roy,22.0,0.0,4.0,137.5,0.0,80.0
AS Yadav,39.0,10.0,0.0,134.48,100.0,0.0
AT Carey,32.0,0.0,0.0,110.34,0.0,0.0
AT Rayudu,1179.0,2392.0,777.0,168.91,120.87,106.15
AU Rashid,4.0,18.0,0.0,133.33,138.46,0.0
AUK Pathan,14.0,11.0,14.0,140.0,137.5,280.0
Abdul Basith,1.0,0.0,0.0,100.0,0.0,0.0
Abdul Samad,392.0,185.0,2.0,166.81,115.62,100.0
Abdur Razzak,0.0,0.0,0.0,0.0,0.0,0.0
Abhishek Sharma,160.0,459.0,758.0,155.34,151.99,157.26
Abishek Porel,51.0,168.0,141.0,164.52,146.09,156.67
Akash Deep,14.0,5.0,0.0,140.0,250.0,0.0
Akash Madhwal,4.0,0.0,0.0,80.0,0.0,0.0
Aman Hakim Khan,59.0,52.0,4.0,143.9,89.66,80.0
Anirudh Singh,13.0,32.0,18.0,92.86,100.0,90.0
Ankit Sharma,48.0,12.0,27.0,141.18,120.0,117.39
Ankit Soni,7.0,0.0,0.0,77.78,0.0,0.0
Anmolpreet Singh,0.0,23.0,116.0,0.0,95.83,127.47
Anuj Rawat,142.0,93.0,83.0,175.31,94.9,94.32
Anureet Singh,32.0,4.0,0.0,84.21,44.44,0.0
Arjun Tendulkar,13.0,0.0,0.0,144.44,0.0,0.0
Arshad Khan,64.0,32.0,0.0,160.0,128.0,0.0
Arshad Khan (2),5.0,0.0,0.0,125.0,0.0,0.0
Arshdeep Singh,25.0,4.0,0.0,67.57,133.33,0.0
Ashutosh Sharma,128.0,61.0,0.0,185.51,138.64,0.0
Atharva Taide,0.0,103.0,144.0,0.0,139.19,153.19
Avesh Khan,29.0,12.0,0.0,138.1,300.0,0.0
Azhar Mahmood,123.0,243.0,22.0,135.16,129.26,91.67
Azmatullah Omarzai,6.0,36.0,0.0,150.0,124.14,0.0
B Akhil,49.0,27.0,0.0,144.12,128.57,0.0
B Chipli,100.0,125.0,55.0,178.57,105.04,72.37
B Indrajith,0.0,2.0,19.0,0.0,66.67,70.37
B Kumar,280.0,26.0,0.0,96.22,74.29,0.0
B Laughlin,2.0,3.0,0.0,33.33,42.86,0.0
B Lee,112.0,12.0,0.0,128.74,120.0,0.0
B Sai Sudharsan,171.0,591.0,272.0,201.18,140.05,115.25
B Stanlake,5.0,0.0,0.0,250.0,0.0,0.0
B Sumanth,26.0,9.0,0.0,100.0,81.82,0.0
BA Bhatt,6.0,0.0,0.0,85.71,0.0,0.0
BA Stokes,207.0,488.0,240.0,161.72,125.45,132.6
BAW Mendis,3.0,0.0,0.0,50.0,0.0,0.0
BB McCullum,181.0,1144.0,1557.0,186.6,131.65,127.21
BB Samantray,42.0,68.0,15.0,140.0,109.68,71.43
BB Sran,10.0,0.0,0.0,71.43,0.0,0.0
BCJ Cutting,216.0,22.0,0.0,178.51,110.0,0.0
BE Hendricks,1.0,0.0,0.0,33.33,0.0,0.0
BJ Haddin,0.0,0.0,18.0,0.0,0.0,163.64
BJ Hodge,606.0,646.0,148.0,162.47,110.81,91.36
BJ Rohrer,79.0,114.0,0.0,225.71,108.57,0.0
BMAJ Mendis,0.0,22.0,1.0,0.0,88.0,50.0
BR Dunk,0.0,0.0,40.0,0.0,0.0,114.29
BR Sharath,0.0,2.0,0.0,0.0,40.0,0.0
Basil Thampi,29.0,3.0,0.0,96.67,60.0,0.0
Bipul Sharma,172.0,15.0,0.0,157.8,107.14,0.0
C Green,204.0,307.0,196.0,198.06,129.54,163.33
C Madan,0.0,0.0,15.0,0.0,0.0,78.95
C Munro,4.0,42.0,131.0,80.0,93.33,143.96
C Nanda,0.0,0.0,0.0,0.0,0.0,0.0
C Sakariya,19.0,1.0,0.0,70.37,25.0,0.0
C de Grandhomme,160.0,142.0,1.0,141.59,129.09,50.0
CA Ingram,63.0,128.0,14.0,150.0,106.67,77.78
CA Lynn,36.0,514.0,779.0,105.88,138.54,144.26
CA Pujara,47.0,128.0,215.0,114.63,105.79,93.89
CH Gayle,581.0,2011.0,2405.0,204.58,156.13,135.57
CH Morris,499.0,102.0,17.0,167.45,109.68,242.86
CJ Anderson,175.0,311.0,52.0,166.67,121.01,85.25
CJ Ferguson,23.0,58.0,17.0,100.0,82.86,70.83
CJ Jordan,80.0,1.0,0.0,112.68,16.67,0.0
CJ McKay,0.0,8.0,0.0,0.0,53.33,0.0
CK Kapugedera,15.0,1.0,0.0,75.0,33.33,0.0
CK Langeveldt,7.0,1.0,0.0,140.0,25.0,0.0
CL White,363.0,501.0,107.0,188.08,111.09,92.24
CM Gautam,55.0,46.0,68.0,125.0,104.55,109.68
CR Brathwaite,157.0,24.0,0.0,198.73,75.0,0.0
CR Woakes,63.0,15.0,0.0,112.5,71.43,0.0
CRD Fernando,4.0,0.0,0.0,133.33,0.0,0.0
CV Varun,25.0,0.0,0.0,58.14,0.0,0.0
D Brevis,0.0,149.0,81.0,0.0,141.9,122.73
D Ferreira,7.0,1.0,0.0,87.5,33.33,0.0
D Kalyankrishna,3.0,0.0,0.0,37.5,0.0,0.0
D Padikkal,114.0,684.0,761.0,139.02,121.06,122.94
D Pretorius,44.0,0.0,0.0,157.14,0.0,0.0
D Salunkhe,25.0,8.0,0.0,147.06,114.29,0.0
D Wiese,125.0,23.0,0.0,162.34,95.83,0.0
D du Preez,7.0,3.0,0.0,77.78,75.0,0.0
DA Miller,1298.0,1528.0,98.0,176.36,121.75,89.09
DA Warner,628.0,2621.0,3318.0,176.9,134.83,138.08
DAJ Bracewell,12.0,0.0,0.0,133.33,0.0,0.0
DB Das,117.0,129.0,58.0,120.62,116.22,109.43
DB Ravi Teja,169.0,153.0,53.0,138.52,111.68,91.38
DE Bollinger,21.0,0.0,0.0,91.3,0.0,0.0
DG Nalkande,0.0,12.0,0.0,0.0,109.09,0.0
DH Yagnik,96.0,74.0,0.0,128.0,119.35,0.0
DJ Bravo,909.0,528.0,123.0,174.14,92.31,111.82
DJ Harris,0.0,54.0,57.0,0.0,145.95,89.06
DJ Hooda,448.0,858.0,160.0,148.34,127.11,103.23
DJ Hussey,410.0,778.0,134.0,175.97,107.02,116.52
DJ Jacobs,0.0,9.0,83.0,0.0,128.57,91.21
DJ Malan,0.0,25.0,1.0,0.0,104.17,50.0
DJ Mitchell,46.0,208.0,97.0,121.05,137.75,124.36
DJ Muthuswami,1.0,0.0,0.0,33.33,0.0,0.0
DJ Thornely,0.0,35.0,4.0,0.0,106.06,20.0
DJ Willey,24.0,23.0,6.0,109.09,79.31,54.55
DJG Sammy,136.0,151.0,8.0,141.67,107.86,160.0
DJM Short,0.0,65.0,50.0,0.0,166.67,83.33
DL Chahar,25.0,55.0,0.0,100.0,161.76,0.0
DL Vettori,74.0,47.0,0.0,125.42,87.04,0.0
DM Bravo,6.0,0.0,0.0,120.0,0.0,0.0
DNT Zoysa,10.0,1.0,0.0,125.0,100.0,0.0
DP Conway,86.0,446.0,392.0,153.57,152.74,128.1
DP Nannes,2.0,2.0,0.0,22.22,50.0,0.0
DP Vijaykumar,1.0,0.0,0.0,100.0,0.0,0.0
DPMD Jayawardene,374.0,823.0,611.0,159.15,113.05,121.96
DR Martyn,5.0,13.0,1.0,166.67,72.22,33.33
DR Sams,27.0,16.0,1.0,112.5,114.29,16.67
DR Shorey,0.0,13.0,0.0,0.0,76.47,0.0
DR Smith,168.0,1004.0,1213.0,151.35,148.3,124.28
DS Kulkarni,99.0,5.0,0.0,101.02,50.0,0.0
DS Lehmann,0.0,14.0,4.0,0.0,93.33,133.33
DT Christian,309.0,148.0,3.0,138.57,88.62,37.5
DT Patil,4.0,9.0,0.0,400.0,75.0,0.0
DW Steyn,163.0,4.0,0.0,107.95,44.44,0.0
Dhruv Jurel,254.0,93.0,0.0,172.79,117.72,0.0
E Lewis,32.0,202.0,420.0,152.38,118.82,146.85
EJG Morgan,516.0,714.0,176.0,164.33,111.21,91.67
ER Dwivedi,19.0,0.0,5.0,211.11,0.0,100.0
F Behardien,14.0,0.0,0.0,116.67,0.0,0.0
F du Plessis,568.0,1855.0,2148.0,180.89,125.76,137.43
FA Allen,11.0,3.0,0.0,84.62,50.0,0.0
FH Edwards,4.0,0.0,0.0,80.0,0.0,0.0
FY Fazal,38.0,69.0,76.0,118.75,111.29,96.2
Fazalhaq Farooqi,3.0,0.0,0.0,23.08,0.0,0.0
G Coetzee,11.0,3.0,0.0,61.11,75.0,0.0
G Gambhir,270.0,1670.0,2277.0,145.16,123.7,121.9
GB Hogg,22.0,0.0,0.0,100.0,0.0,0.0
GC Smith,66.0,299.0,374.0,165.0,124.07,96.64
GC Viljoen,3.0,0.0,0.0,42.86,0.0,0.0
GD McGrath,4.0,0.0,0.0,80.0,0.0,0.0
GD Phillips,45.0,20.0,0.0,195.65,80.0,0.0
GH Vihari,80.0,145.0,59.0,114.29,90.06,65.56
GHS Garton,2.0,0.0,0.0,50.0,0.0,0.0
GJ Bailey,327.0,205.0,131.0,174.87,89.52,102.34
GJ Maxwell,599.0,1740.0,433.0,180.97,154.12,140.13
GR Napier,5.0,10.0,0.0,125.0,83.33,0.0
Gulbadin Naib,15.0,4.0,0.0,150.0,80.0,0.0
Gurkeerat Singh,251.0,225.0,35.0,154.94,100.9,94.59
H Das,2.0,0.0,0.0,40.0,0.0,0.0
H Klaasen,403.0,528.0,62.0,192.82,154.84,155.0
HC Brook,36.0,58.0,96.0,144.0,128.89,114.29
HE van der Dussen,12.0,10.0,0.0,120.0,71.43,0.0
HF Gurney,1.0,0.0,0.0,20.0,0.0,0.0
HH Gibbs,72.0,367.0,447.0,156.52,106.38,107.45
HH Pandya,1290.0,1075.0,169.0,171.09,132.39,97.69
HM Amla,122.0,194.0,261.0,234.62,124.36,131.16
HR Shokeen,23.0,42.0,1.0,135.29,97.67,20.0
HV Patel,183.0,66.0,0.0,142.97,88.0,0.0
Harbhajan Singh,624.0,147.0,62.0,151.46,104.26,121.57
Harmeet Singh,18.0,0.0,0.0,150.0,0.0,0.0
Harpreet Brar,197.0,36.0,0.0,134.01,83.72,0.0
Harpreet Singh,50.0,43.0,30.0,131.58,82.69,103.45
Harshit Rana,0.0,2.0,0.0,0.0,200.0,0.0
I Malhotra,7.0,0.0,0.0,175.0,0.0,0.0
I Sharma,45.0,12.0,0.0,81.82,85.71,0.0
I Udana,15.0,0.0,0.0,136.36,0.0,0.0
IC Pandey,0.0,0.0,0.0,0.0,0.0,0.0
IK Pathan,663.0,395.0,92.0,149.32,90.39,133.33
IR Jaggi,13.0,38.0,25.0,92.86,82.61,67.57
IS Sodhi,5.0,2.0,0.0,50.0,28.57,0.0
Imran Tahir,29.0,4.0,0.0,93.55,66.67,0.0
Iqbal Abdulla,70.0,18.0,0.0,118.64,72.0,0.0
Ishan Kishan,255.0,1138.0,1251.0,180.85,129.91,134.66
J Arunkumar,0.0,0.0,23.0,0.0,0.0,100.0
J Botha,159.0,205.0,45.0,129.27,111.41,86.54
J Fraser-McGurk,0.0,64.0,266.0,0.0,182.86,250.94
J Suchith,56.0,14.0,0.0,180.65,46.67,0.0
J Syed Mohammad,20.0,9.0,0.0,133.33,81.82,0.0
J Theron,10.0,0.0,0.0,83.33,0.0,0.0
J Yadav,31.0,9.0,0.0,114.81,100.0,0.0
JA Morkel,637.0,320.0,18.0,156.13,120.3,138.46
JA Richardson,2.0,15.0,0.0,50.0,68.18,0.0
JC Archer,186.0,13.0,0.0,164.6,118.18,0.0
JC Buttler,596.0,1374.0,1613.0,197.35,139.92,140.75
JD Ryder,45.0,119.0,440.0,160.71,114.42,134.97
JD Unadkat,174.0,23.0,0.0,126.09,82.14,0.0
JDP Oram,62.0,44.0,0.0,124.0,75.86,0.0
JDS Neesham,42.0,50.0,0.0,89.36,108.7,0.0
JE Root,0.0,0.0,10.0,0.0,0.0,66.67
JE Taylor,3.0,0.0,0.0,100.0,0.0,0.0
JEC Franklin,97.0,151.0,79.0,142.65,107.86,84.95
JH Kallis,394.0,997.0,1036.0,172.81,98.52,105.5
JJ Bumrah,63.0,5.0,0.0,86.3,100.0,0.0
JJ Roy,41.0,193.0,380.0,178.26,148.46,131.03
JJ van der Wath,14.0,4.0,0.0,127.27,80.0,0.0
JL Denly,0.0,0.0,0.0,0.0,0.0,0.0
JL Pattinson,15.0,0.0,0.0,115.38,0.0,0.0
JM Bairstow,75.0,650.0,864.0,136.36,141.92,147.19
JM Kemp,4.0,20.0,2.0,50.0,153.85,66.67
JM Sharma,264.0,455.0,11.0,188.57,139.14,68.75
JO Holder,174.0,73.0,12.0,129.85,123.73,66.67
JP Behrendorff,6.0,0.0,0.0,66.67,0.0,0.0
JP Duminy,882.0,912.0,235.0,169.62,103.99,98.33
JP Faulkner,439.0,74.0,14.0,154.58,86.05,70.0
JPR Scantlebury-Searles,8.0,0.0,0.0,133.33,0.0,0.0
JR Hazlewood,17.0,2.0,0.0,94.44,20.0,0.0
JR Hopes,63.0,187.0,167.0,140.0,146.09,125.56
JR Philippe,1.0,26.0,51.0,50.0,130.0,92.73
Jaskaran Singh,7.0,1.0,0.0,77.78,50.0,0.0
Joginder Sharma,36.0,0.0,0.0,128.57,0.0,0.0
K Goel,30.0,28.0,160.0,107.14,66.67,99.38
K Gowtham,164.0,75.0,8.0,186.36,136.36,160.0
K Kartikeya,9.0,0.0,0.0,75.0,0.0,0.0
K Rabada,152.0,53.0,1.0,118.75,85.48,33.33
K Upadhyay,12.0,0.0,0.0,133.33,0.0,0.0
K Yadav,0.0,0.0,0.0,0.0,0.0,0.0
KA Jamieson,53.0,12.0,0.0,147.22,63.16,0.0
KA Maharaj,1.0,0.0,0.0,50.0,0.0,0.0
KA Pollard,2032.0,1352.0,53.0,170.18,124.49,108.16
KAJ Roach,5.0,5.0,0.0,71.43,250.0,0.0
KB Arun Karthik,25.0,26.0,0.0,86.21,118.18,0.0
KC Cariappa,12.0,12.0,0.0,92.31,150.0,0.0
KC Sangakkara,202.0,963.0,522.0,155.38,118.6,116.0
KD Karthik,1904.0,2542.0,397.0,173.41,122.39,98.02
KH Pandya,669.0,904.0,74.0,160.05,118.79,121.31
KJ Abbott,13.0,0.0,0.0,185.71,0.0,0.0
KK Ahmed,1.0,0.0,0.0,14.29,0.0,0.0
KK Cooper,79.0,30.0,7.0,179.55,136.36,350.0
KK Nair,275.0,717.0,504.0,177.42,118.51,122.63
KL Nagarkoti,16.0,6.0,0.0,80.0,46.15,0.0
KL Rahul,752.0,1927.0,2010.0,175.29,132.53,125.47
KM Asif,0.0,0.0,0.0,0.0,0.0,0.0
KM Jadhav,565.0,576.0,67.0,138.82,116.84,82.72
KMA Paul,18.0,0.0,0.0,75.0,0.0,0.0
KMDN Kulasekara,5.0,0.0,0.0,166.67,0.0,0.0
KP Appanna,2.0,0.0,0.0,50.0,0.0,0.0
KP Pietersen,123.0,486.0,392.0,178.26,127.89,133.33
KR Mayers,0.0,97.0,282.0,0.0,167.24,137.56
KR Sen,0.0,0.0,0.0,0.0,0.0,0.0
KS Bharat,32.0,102.0,65.0,168.42,120.0,110.17
KS Sharma,0.0,6.0,10.0,0.0,60.0,66.67
KS Williamson,460.0,1189.0,483.0,166.06,126.49,100.63
KV Sharma,247.0,97.0,7.0,137.22,92.38,77.78
KW Richardson,17.0,19.0,0.0,80.95,105.56,0.0
Kamran Akmal,26.0,51.0,51.0,152.94,255.0,124.39
Kamran Khan,0.0,3.0,0.0,0.0,75.0,0.0
Karanveer Singh,8.0,4.0,0.0,80.0,57.14,0.0
Kartik Tyagi,13.0,0.0,0.0,81.25,0.0,0.0
Kuldeep Yadav,163.0,20.0,0.0,90.56,55.56,0.0
Kumar Kushagra,0.0,1.0,2.0,0.0,33.33,66.67
L Ablish,0.0,0.0,0.0,0.0,0.0,0.0
L Balaji,35.0,1.0,0.0,77.78,25.0,0.0
L Ronchi,0.0,0.0,34.0,0.0,0.0,100.0
L Wood,9.0,0.0,0.0,300.0,0.0,0.0
LA Carseldine,20.0,23.0,38.0,153.85,115.0,108.57
LA Pomersbach,67.0,131.0,104.0,136.73,111.97,130.0
LB Williams,1.0,0.0,0.0,50.0,0.0,0.0
LE Plunkett,1.0,0.0,0.0,33.33,0.0,0.0
LH Ferguson,68.0,0.0,0.0,147.83,0.0,0.0
LJ Wright,84.0,14.0,8.0,227.03,93.33,100.0
LMP Simmons,56.0,481.0,542.0,155.56,135.11,117.83
LPC Silva,23.0,8.0,9.0,230.0,88.89,128.57
LR Shukla,219.0,184.0,2.0,133.54,101.66,40.0
LRPL Taylor,312.0,550.0,155.0,156.78,109.56,128.1
LS Livingstone,284.0,492.0,163.0,216.79,145.56,149.54
Lalit Yadav,94.0,186.0,25.0,117.5,104.49,78.12
Liton Das,0.0,0.0,4.0,0.0,0.0,100.0
M Ashwin,30.0,5.0,0.0,81.08,38.46,0.0
M Jansen,43.0,23.0,0.0,95.56,109.52,0.0
M Kaif,54.0,183.0,22.0,120.0,109.58,57.89
M Kartik,78.0,35.0,0.0,102.63,109.38,0.0
M Klinger,0.0,23.0,50.0,0.0,82.14,102.04
M Manhas,244.0,224.0,46.0,131.89,96.55,86.79
M Markande,48.0,0.0,0.0,117.07,0.0,0.0
M Morkel,116.0,10.0,0.0,143.21,111.11,0.0
M Muralitharan,20.0,0.0,0.0,66.67,0.0,0.0
