match_id,is_dls
335982,0
335983,0
335984,0
335985,0
335986,0
335987,0
335988,0
335989,0
335990,0
335991,0
335992,0
335993,0
335994,0
335995,0
335996,0
335997,0
335998,0
335999,0
336000,0
336001,0
336003,0
336034,0
336004,0
336005,0
336006,0
336007,0
336008,0
336009,0
336010,0
336011,0
336013,0
336014,0
336015,0
336016,0
336017,0
336018,0
336020,0
336021,0
336022,1
336023,0
336024,0
336025,1
336026,0
336027,0
336028,0
336029,0
336031,0
336032,0
336033,0
336002,0
336035,0
336036,0
336037,0
336012,0
336019,0
336038,0
336039,0
336040,0
392181,0
392182,0
392183,1
392184,0
392185,0
392186,1
392188,0
392189,0
392190,0
392191,0
392192,0
392194,0
392195,0
392196,0
392197,0
392198,0
392199,0
392200,0
392201,0
392202,0
392203,0
392204,0
392205,0
392206,0
392207,0
392208,0
392209,0
392210,0
392211,0
392212,0
392213,0
392214,1
392215,0
392216,0
392217,0
392218,0
392219,0
392220,0
392221,0
392222,0
392223,0
392224,0
392225,0
392226,0
392227,0
392228,0
392229,0
392230,0
392231,0
392232,0
392233,0
392234,0
392235,0
392236,0
392237,0
392238,0
392239,0
419106,0
419107,0
419108,0
419109,0
419110,0
419111,0
419112,0
419113,0
419114,0
419115,0
419116,0
419117,0
419118,0
419119,0
419120,0
419121,0
419122,0
419123,0
419124,0
419125,0
419128,0
419126,0
419127,0
419129,0
419130,0
419131,0
419132,0
419133,0
419134,0
419135,0
419136,0
419137,0
419138,0
419139,0
419140,0
419141,0
419142,0
419143,0
419144,0
419145,0
419146,0
419147,0
419148,0
419149,0
419150,0
419151,0
419152,0
419153,0
419154,0
419155,0
419156,0
419157,0
419158,0
419159,0
419160,0
419161,0
419162,0
419163,0
419164,0
419165,0
501198,0
501199,0
501200,0
501201,0
501202,0
501203,0
501204,0
501205,0
501206,0
501207,0
501208,0
501209,0
501210,0
501211,0
501212,0
501213,0
501214,0
501215,1
501216,0
501218,0
501219,0
501220,0
501221,0
501222,0
501223,0
501224,0
501225,0
501226,0
501227,0
501228,0
501229,0
501230,0
501231,0
501232,0
501233,0
501234,0
501235,0
501236,0
501237,0
501238,0
501239,0
501240,0
501241,0
501242,0
501243,0
501244,0
501245,1
501246,0
501247,0
501248,0
501249,0
501250,0
501251,0
501252,0
501253,0
501254,0
501255,1
501256,0
501257,0
501258,0
501259,0
501260,0
501261,0
501262,0
501263,0
501264,0
501265,0
501266,0
501267,0
501268,0
501269,0
501270,0
501271,0
548306,0
548307,0
548308,0
548309,0
548310,0
548311,0
548312,0
548313,0
548314,0
548315,0
548316,0
548317,0
548318,0
548319,0
548320,0
548322,0
548323,0
548324,0
548325,0
548326,0
548327,0
548328,0
548321,0
548330,0
548331,0
548332,0
548333,0
548334,0
548335,0
548336,0
548337,0
548339,0
548341,0
548342,0
548343,0
548344,0
548345,0
548346,0
548347,0
548348,0
548349,0
548350,0
548351,0
548352,0
548353,0
548354,0
548355,0
548356,0
548357,0
548358,0
548359,0
548360,0
548329,0
548361,0
548362,0
548363,0
548364,0
548365,0
548366,0
548367,0
548368,0
548369,0
548370,0
548371,0
548372,0
548373,0
548374,0
548375,0
548376,0
548377,0
548378,0
548379,0
548380,0
548381,0
597998,0
597999,0
598000,0
598001,0
598002,0
598003,0
598004,0
598005,0
598006,0
598048,0
598007,0
598008,0
598009,0
598010,0
598011,0
598012,0
598013,0
598014,0
598015,0
598016,0
598017,0
598018,0
598019,0
598020,0
598021,0
598022,0
598023,0
598024,0
598025,0
598026,0
598027,0
598059,0
598029,0
598030,0
598031,0
598032,0
598033,0
598034,0
598035,0
598036,0
598037,0
598038,0
598039,0
598040,0
598041,0
598042,0
598043,0
598044,0
598046,0
598047,0
598064,0
598049,0
598050,0
598051,0
598052,0
598053,0
598054,0
598055,0
598056,0
598057,0
598058,0
598060,0
598045,0
598062,0
598061,0
598063,0
598028,0
598065,0
598066,0
598068,0
598067,0
598069,0
598070,0
598071,0
598072,0
598073,0
729279,0
729281,0
729283,0
729285,0
729287,0
729289,0
729291,0
729293,0
729295,0
729297,0
729299,0
729301,0
729303,0
729305,0
729307,0
729309,0
729311,0
729313,0
729315,0
729317,0
733971,0
733973,0
733975,0
733977,0
733979,0
733981,0
733983,0
733985,0
733987,0
733989,0
733991,0
733993,1
733995,0
733997,0
733999,0
734001,0
734003,0
734005,0
734007,0
734009,0
734011,0
734013,0
734015,0
734017,0
734019,0
734021,0
734023,0
734025,0
734027,0
734029,0
734031,0
734033,0
734035,0
734037,0
734039,0
734041,0
734043,0
734045,0
734047,0
734049,0
829705,0
829707,0
829709,0
829711,0
829713,0
829715,0
829717,0
829719,0
829721,0
829725,0
829727,0
829729,0
829731,0
829733,0
829735,0
829737,0
829739,0
829741,0
829743,1
829745,0
829747,0
829749,0
829751,0
829753,0
829757,0
829759,0
829765,0
829763,0
829723,0
829767,0
829769,0
829771,0
829773,0
829775,0
829777,0
829779,0
829781,0
829783,0
829785,0
829761,0
829787,0
829789,0
829791,0
829793,0
829795,0
829797,0
829799,0
829801,0
829803,0
829805,0
829807,1
829809,0
829811,0
829813,0
829815,0
829817,0
829819,0
829821,0
829823,0
980901,0
980903,0
980905,0
980907,0
980909,0
980911,0
980913,0
980915,0
980917,0
980919,0
980921,0
980923,0
980925,0
980927,0
980929,0
980931,0
980933,0
980935,0
980937,0
980939,0
980941,0
980943,1
980945,0
980947,0
980949,0
980951,0
980953,0
980955,0
980957,0
980959,0
980961,0
980963,0
980965,0
980967,0
980969,0
980971,0
980973,0
980975,0
980977,0
980979,0
980981,0
980983,0
980985,0
980987,0
980989,1
980991,0
980993,0
980995,0
980997,1
980999,1
981001,0
981003,0
981005,0
981007,0
981009,0
981011,0
981013,0
981015,0
981017,0
981019,0
1082591,0
1082592,0
1082593,0
1082594,0
1082595,0
1082596,0
1082597,0
1082598,0
1082599,0
1082600,0
1082601,0
1082602,0
1082603,0
1082604,0
1082605,0
1082606,0
1082607,0
1082608,0
1082609,0
1082610,0
1082611,0
1082612,0
1082613,0
1082614,0
1082615,0
1082616,0
1082617,0
1082618,0
1082620,0
1082621,0
1082622,0
1082623,0
1082624,0
1082625,0
1082626,0
1082627,0
1082628,0
1082629,0
1082630,0
1082631,0
1082632,0
1082633,0
1082634,0
1082635,0
1082636,0
1082637,0
1082638,0
1082639,0
1082640,0
1082641,0
1082642,0
1082643,0
1082644,0
1082645,0
1082646,0
1082647,0
1082648,1
1082649,0
1082650,0
1136561,0
1136562,0
1136563,0
1136564,0
1136565,0
1136566,1
1136567,0
1136568,0
1136569,0
1136570,0
1136571,0
1136572,0
1136573,0
1136574,0
1136575,0
1136576,0
1136577,0
1136578,1
1136579,0
1136580,0
1136581,0
1136582,0
1136583,0
1136584,0
1136585,0
1136586,0
1136587,0
1136588,0
1136589,0
1136590,0
1136591,0
1136592,1
1136593,0
1136594,0
1136595,0
1136596,0
1136597,0
1136598,0
1136599,0
1136600,0
1136601,0
1136602,0
1136603,0
1136604,0
1136605,0
1136606,0
1136607,0
1136608,0
1136609,0
1136610,0
1136611,0
1136612,0
1136613,0
1136614,0
1136615,0
1136616,0
1136617,0
1136618,0
1136619,0
1136620,0
1175356,0
1175357,0
1175358,0
1175359,0
1175360,0
1175361,0
1175362,0
1175363,0
1175364,0
1175365,0
1175366,0
1175367,0
1175368,0
1175369,0
1175370,0
1175371,0
1175372,0
1178393,0
1178394,0
1178395,0
1178396,0
1178397,0
1178398,0
1178399,0
1178400,0
1178401,0
1178402,0
1178403,0
1178404,0
1178405,0
1178406,0
1178407,0
1178408,0
1178409,0
1178410,0
1178411,0
1178412,0
1178413,0
1178414,0
1178415,0
1178416,0
1178417,0
1178418,0
1178419,0
1178420,0
1178421,0
1178422,0
1178423,0
1178424,0
1178425,0
1178426,0
1178427,0
1178428,0
1178429,0
1178430,0
1178431,0
1181764,0
1181766,0
1181767,0
1181768,0
1216492,0
1216493,0
1216534,0
1216496,0
1216508,0
1216510,0
1216539,0
1216545,0
1216527,0
1216547,0
1216532,0
1216504,0
1216503,0
1216516,0
1216514,0
1216515,0
1216513,0
1216538,0
1216519,0
1216511,0
1216501,0
1216542,0
1216500,0
1216523,0
1216525,0
1216507,0
1216529,0
1216540,0
1216528,0
1216543,0
1216531,0
1216526,0
1216509,0
1216522,0
1216512,0
1216517,0
1216533,0
1216546,0
1216494,0
1216518,0
1216521,0
1216497,0
1216498,0
1216541,0
1216544,0
1216520,0
1216524,0
1216499,0
1216536,0
1216537,0
1216502,0
1216535,0
1216506,0
1216530,0
1216505,0
1216495,0
1237177,0
1237178,0
1237180,0
1237181,0
1254058,0
1254059,0
1254060,0
1254061,0
1254062,0
1254063,0
1254064,0
1254065,0
1254066,0
1254067,0
1254068,0
1254069,0
1254070,0
1254071,0
1254072,0
1254073,0
1254074,0
1254075,0
1254076,0
1254077,0
1254078,0
1254079,0
1254080,0
1254081,0
1254082,0
1254083,0
1254084,0
1254085,0
1254086,0
1254104,0
1254087,0
1254111,0
1254105,0
1254096,0
1254113,0
1254097,0
1254107,0
1254098,0
1254108,0
1254100,0
1254092,0
1254099,0
1254103,0
1254091,0
1254102,0
1254089,0
1254112,0
1254090,0
1254109,0
1254110,0
1254093,0
1254095,0
1254094,0
1254106,0
1254088,0
1254101,0
1254114,0
1254115,0
1254116,0
1254117,0
1304047,0
1304048,0
1304049,0
1304050,0
1304051,0
1304052,0
1304053,0
1304054,0
1304055,0
1304056,0
1304057,0
1304058,0
1304059,0
1304060,0
1304061,0
1304062,0
1304063,0
1304064,0
1304065,0
1304066,0
1304067,0
1304068,0
1304069,0
1304070,0
1304071,0
1304072,0
1304073,0
1304074,0
1304075,0
1304076,0
1304077,0
1304078,0
1304079,0
1304080,0
1304081,0
1304082,0
1304083,0
1304084,0
1304085,0
1304086,0
1304087,0
1304088,0
1304089,0
1304090,0
1304091,0
1304092,0
1304093,0
1304094,0
1304095,0
1304096,0
1304097,0
1304098,0
1304099,0
1304100,0
1304101,0
1304102,0
1304103,0
1304104,0
1304105,0
1304106,0
1304107,0
1304108,0
1304109,0
1304110,0
1304111,0
1304112,0
1304113,0
1304114,0
1304115,0
1304116,0
1312197,0
1312198,0
1312199,0
1312200,0
1359475,0
1359476,1
1359477,0
1359478,0
1359479,0
1359480,0
1359481,0
1359482,0
1359483,0
1359484,0
1359485,0
1359486,0
1359487,0
1359488,0
1359489,0
1359490,0
1359491,0
1359492,0
1359493,0
1359494,0
1359495,0
1359496,0
1359497,0
1359498,0
1359499,0
1359500,0
1359501,0
1359502,0
1359503,0
1359504,0
1359505,0
1359506,0
1359507,0
1359508,0
1359509,0
1359510,0
1359511,0
1359512,0
1359513,0
1359514,0
1359515,0
1359516,0
1359517,0
1359518,0
1359519,0
1359520,0
1359521,0
1359522,0
1359523,0
1359524,0
1359525,0
1359526,0
1359527,0
1359528,0
1359529,0
1359530,0
1359531,0
1359532,0
1359533,0
1359534,0
1359535,0
1359536,0
1359537,0
1359538,0
1359539,0
1359540,0
1359541,0
1359542,0
1359543,0
1359544,0
1370350,0
1370351,0
1370352,0
1370353,1
1422119,0
1422120,0
1422121,0
1422122,0
1422123,0
1422124,0
1422125,0
1422126,0
1422127,0
1422128,0
1422129,0
1422130,0
1422131,0
1422132,0
1422133,0
1422134,0
1422135,0
1422136,0
1422137,0
1422138,0
1422139,0
1426260,0
1426261,0
1426262,0
1426263,0
1426264,0
1426265,0
1426266,0
1426267,0
1426268,0
1426269,0
1426270,0
1426271,0
1426272,0
1426273,0
1426274,0
1426275,0
1426276,0
1426277,0
1426278,0
1426279,0
1426280,0
1426281,0
1426282,0
1426283,0
1426284,0
1426285,0
1426286,0
1426287,0
1426288,0
1426289,0
1426290,0
1426291,0
1426292,0
1426293,0
1426294,0
1426295,0
1426296,0
1426297,0
1426298,0
1426299,0
1426300,0
1426302,0
1426303,0
1426305,0
1426306,0
1426307,0
1426309,0
1426310,0
1426311,0
1426312,0
